p_cuts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
1,0.2947201930370389,0.2984218286039278,0.4009967159687941,0.27520367767122245,0.48222045976516914,0.3220232041190863,0.427477611361401,0.7208204723923992,0.2192355871786911,0.2595444092736261,0.34883911671011536,0.3514667077743394,0.29050192795407354,0.4481425280324259,0.7095151347938146,0.32382975930787095,0.5948077947767193,0.33933306060879637,0.30625579477529064,0.33160275367012304,0.33581985267413683,0.3592175312712512,0.2402954426935432,0.3934808194891507,0.5043382353130005,0.2724925613375332,0.249559768210672,0.7303261243217355,0.2201351406884665,0.5526584892351559,0.5096298004527864,0.3509105763480761,0.19061543487008342,0.23395134044078508,0.3547162776528115,0.35935525795322565,0.7319332030220237,0.4234402414840209,0.3889912780460265,0.5677165378883291,0.30782698689997184,0.2024622835268591,0.3061516570817817,0.4226171065834018,0.36486841798187536,0.3808276355393342,0.24397606292857232,0.25809009513261766,0.2977542319083535,0.30300429109851856,0.3262811657579163,0.4919752452445645,0.24216297230673461,0.18883403454927497,0.6903073086041165,0.4249823207789073,0.2745471343162939,0.36277949838546053,0.21970820363433385,0.20657854391169708,0.39252257981781435,0.2681247121063987,0.345631074014988,0.5828027201281291,0.24451128333248345,0.2462505350171547,0.6329423064795907,0.4084526919141654,0.4350682872298788,0.45037378294608593,0.7704518000615337,0.3619618184096965,0.29653681578942886,0.49301509834802415,0.2620717118846303,0.23715529062501597,0.6448403672834937,0.31648820328346433,0.1342509064042858,0.6419571145112987,0.44961659097186724,0.2492121223908119,0.3723919464384803,0.47144909116247374,0.5805861761092683,0.38316044614609707,0.3134733625185957,0.5116177554436216,0.31094203921567887,0.3774454662608035,0.25266177912465976,0.29479974970787515,0.3363721991800595,0.29244242630125095,0.3605252015472091,0.1972558640089174,0.271828422535358,0.3390946275618834,0.23394545650494675,0.36124276065479416,0.24237018757555406,0.575870350365476,0.5168811190729136,0.16214431933042936,0.2355155405926744,0.7932460488964074,0.3504977485566957,0.5340173552985683,0.4093667545417276,0.45792419465994844,0.4898257019514164,0.7476471097731353,0.28370653604986423,0.21961048102650302,0.27405148339214774,0.208759381922227,0.697811398931139,0.6325178460190578,0.25055219171658194,0.34363857502201606,0.4974716602017105,0.47600696199774567,0.26333728682137825,0.31695235461373505,0.26167114151116544,0.393322630535751,0.24786727997167934,0.33164438452615064,0.3052741141891014,0.29894402495991984,0.5927778796594566,0.373019358922869,0.4730742804819684,0.23681167981686319,0.2586782832905291,0.30004089130761774,0.41862183273059056,0.2889360215289959,0.35662652962276503,0.3753689486171307,0.25252588367036993,0.5980480162555939,0.28367802152602767,0.32390710865251604,0.5912832526873036,0.2836313984765161,0.19926885928619134,0.47202729550958616,0.20479041407493603,0.6672860722429377,0.3386858274089441,0.29255612626656136,0.2711836071945157,0.3640712980945188,0.7147111619411004,0.5415981653682106,0.28598266557659946,0.2684712659319912,0.376712038904999,0.3592399250214506,0.22093381021058128,0.34526782283763074,0.2882936125588884,0.42005168384087666,0.3063696955158129,0.29875454491823766,0.3983861659976648,0.3461208797977883,0.2637167060618882,0.3576779581718487,0.2867578942800156,0.4446634241522027,0.21082041835680468,0.3010106172342409,0.5227344348488812,0.390815498422501,0.6825525775713732,0.29587179002300085,0.3839930268961367,0.2990037645017939,0.6781392647968523,0.15997728169123895,0.3594118677326433,0.342620724714826,0.3820913613254296,0.29695807984116496,0.22628030729684556,0.3812587853497333,0.46625810201728746,0.3483040321427296,0.5025043797780665,0.23396669651735474,0.38567368683035974,0.3444415081730496,0.40948348550119584,0.35065128745222635,0.5644847148197147,0.29617054745624916,0.38499614892045975,0.4599597941136495
0.1,0.2947201930370389,0.29876340727086514,0.4030200292316919,0.28198419947634307,0.4856948168981813,0.33328216955986584,0.4316460502956532,0.722309033737833,0.22136859562242633,0.26391325145669187,0.3492893668698256,0.35225750839686243,0.29050192795407354,0.4548251365275235,0.7031488786723082,0.33075518051852454,0.6007513489353954,0.3413580735375876,0.3089960202388335,0.33160275367012304,0.33581985267413683,0.36238639299303077,0.2402954426935432,0.392993609534219,0.5027717557750884,0.2724925613375332,0.249559768210672,0.7406275577363846,0.21998558460148795,0.5605377017154819,0.5033566106720195,0.3509105763480761,0.19203831421349182,0.23424827557140035,0.3547162776528115,0.35935525795322565,0.7312382696467759,0.4286494182208329,0.39381668343802734,0.5726068023938834,0.30782698689997184,0.2024622835268591,0.3061516570817817,0.4226171065834018,0.368258713633263,0.3786949652004436,0.24397606292857232,0.25809009513261766,0.2977542319083535,0.30300429109851856,0.3265818765223998,0.4919752452445645,0.24216297230673461,0.18918881157040754,0.7005980645300512,0.42414594505105035,0.2745471343162939,0.36785999861824975,0.21970820363433385,0.20657854391169708,0.3980543073124562,0.26885681307104436,0.345631074014988,0.5918975132961904,0.24478495502811037,0.2462505350171547,0.6353476533541388,0.4084526919141654,0.4350682872298788,0.45215120950523857,0.7630267901239339,0.3619618184096965,0.29653681578942886,0.49706852989969996,0.2620717118846303,0.23715529062501597,0.646859415118698,0.31648820328346433,0.1342509064042858,0.6414024741731338,0.4572729760073461,0.2506496777345037,0.37259748884291966,0.47857426726419694,0.5928187628810305,0.38316044614609707,0.31780902250646303,0.5207598860618704,0.31293627423164905,0.3774454662608035,0.2541170160107771,0.29479974970787515,0.33734936041660873,0.29320152052504006,0.3605252015472091,0.1972558640089174,0.271828422535358,0.3390946275618834,0.23394545650494675,0.36057453982262927,0.24237018757555406,0.5650236024666407,0.518113582573504,0.16214431933042936,0.2355155405926744,0.7911046678686533,0.3504977485566957,0.5351036743857034,0.4091665528657326,0.4581656817887136,0.4898257019514164,0.7518147993615873,0.28370653604986423,0.22114940801329022,0.27405148339214774,0.208759381922227,0.7035875674479916,0.6455680290143421,0.25055219171658194,0.34555402407041397,0.5064868678611273,0.47948933630219703,0.26333728682137825,0.3169350013986522,0.26167114151116544,0.393322630535751,0.24786727997167934,0.33164438452615064,0.3052741141891014,0.29894402495991984,0.5820882142540079,0.3816523387207217,0.4774776780300556,0.23681167981686319,0.2586782832905291,0.3002274703794038,0.42184514791748806,0.2889360215289959,0.3574808374121479,0.3753689486171307,0.25252588367036993,0.5954993066868576,0.28367802152602767,0.32390710865251604,0.5954800648689124,0.2836313984765161,0.19926885928619134,0.4723397710118421,0.20479041407493603,0.6676100223714038,0.34194915574832635,0.29255612626656136,0.2711836071945157,0.3660552022547801,0.7119774476569872,0.5531813143068401,0.28598266557659946,0.2684712659319912,0.3842765157681247,0.36712977922973616,0.22093381021058128,0.34526782283763074,0.2896222842271411,0.4254122559428819,0.3063696955158129,0.29875454491823766,0.39858488068844206,0.3461208797977883,0.2637167060618882,0.3576779581718487,0.2888878401588802,0.4446634241522027,0.21228092582354946,0.3010106172342409,0.5214437576440367,0.39039921957280915,0.6845164730490712,0.29587179002300085,0.39703586639656424,0.2990037645017939,0.6768093919471927,0.15997728169123895,0.3594118677326433,0.342620724714826,0.3812184914413482,0.29695807984116496,0.22644459373088066,0.3811763331514987,0.46571294059876556,0.3483040321427296,0.5092185263033554,0.23396669651735474,0.3881569918968482,0.34786910269788024,0.40948348550119584,0.35096284873607936,0.5637011710693309,0.29617054745624916,0.38883596962784683,0.46469821121014443
0.01,0.2947201930370389,0.2992597280184785,0.4099086830818435,0.29575336547672404,0.4940205625052257,0.350678836522201,0.4445747603993737,0.711659858647121,0.2242387103848634,0.27401319727570334,0.3507838957693819,0.35441444154628765,0.29050192795407354,0.4612165659530862,0.6798836863684795,0.34841597617934317,0.6079010300760946,0.3413580735375876,0.31628619286457477,0.33160275367012304,0.33581985267413683,0.36726518032952665,0.24085016960246985,0.3996066253584289,0.5148295091092375,0.2724925613375332,0.249559768210672,0.7131532114101862,0.2236033126604721,0.5817099796400875,0.5030275173510134,0.3509105763480761,0.19790418152552575,0.23484371184340166,0.3547162776528115,0.35935525795322565,0.7147697258750364,0.4405094668252854,0.4077635214270364,0.5915498250591643,0.30782698689997184,0.2024622835268591,0.3061516570817817,0.4226171065834018,0.3769744318720586,0.3840984289027432,0.24397606292857232,0.25907355326168147,0.2977542319083535,0.30300429109851856,0.32768107218951614,0.4919752452445645,0.24216297230673461,0.18918881157040754,0.6971685982791529,0.43648000510517593,0.2745471343162939,0.3785713798066646,0.21970820363433385,0.20688706623009517,0.41348614640753667,0.2714059320558708,0.345631074014988,0.5937761520458655,0.24779235324394489,0.2462505350171547,0.6150311924910926,0.4084526919141654,0.4350682872298788,0.4558344127406595,0.7278374725950671,0.3619618184096965,0.29653681578942886,0.5047805710230024,0.2620717118846303,0.23715529062501597,0.6219644760894731,0.31648820328346433,0.1342509064042858,0.6382071608802518,0.4706292505146472,0.25403215379893995,0.37687227711463145,0.480363132131414,0.6194606110411973,0.38316044614609707,0.3390351350689344,0.5450921837765754,0.31341796003879474,0.3774454662608035,0.2567444421150558,0.29479974970787515,0.34212234878972253,0.29757213888242245,0.3605252015472091,0.19800237854701874,0.271828422535358,0.3390946275618834,0.23394545650494675,0.38565501357590776,0.24237018757555406,0.5584720677706485,0.5237295212212426,0.1624696555127574,0.2355155405926744,0.760917651663449,0.3504977485566957,0.54953137570051,0.41326559099069304,0.4623012231763058,0.4898257019514164,0.7516661581728279,0.28370653604986423,0.22591440405774668,0.27405148339214774,0.208759381922227,0.6949075646283145,0.6522525098414863,0.25055219171658194,0.3463898205528396,0.5234622558395106,0.48730628844440244,0.26333728682137825,0.326378512137199,0.26167114151116544,0.393322630535751,0.24786727997167934,0.33164438452615064,0.3052741141891014,0.29894402495991984,0.581443059719411,0.382743028301325,0.48408214083110895,0.23738172337058014,0.2586782832905291,0.3012457648354706,0.4350735929056029,0.2889360215289959,0.35855389973568313,0.3753689486171307,0.25252588367036993,0.594993547567701,0.28367802152602767,0.32390710865251604,0.5994954304716645,0.2836313984765161,0.19926885928619134,0.4888637424573176,0.20479041407493603,0.6477514484709275,0.3492846762240992,0.2927782729997898,0.2711836071945157,0.3680341020036789,0.6886508024564916,0.5785244886755974,0.28598266557659946,0.2684712659319912,0.3997271791222189,0.38931809635633385,0.22093381021058128,0.34526782283763074,0.2963310103210365,0.44474061351235805,0.3063696955158129,0.29875454491823766,0.3984963421223535,0.3461208797977883,0.2637167060618882,0.35968901425328326,0.302384048965841,0.4446634241522027,0.21609005652376337,0.3010106172342409,0.5254262621411331,0.38566564800357883,0.6743596541022998,0.29587179002300085,0.4151884885577483,0.2990037645017939,0.6766705058981025,0.15997728169123895,0.3594118677326433,0.342620724714826,0.3810690360921242,0.2976452466215979,0.23054741182187508,0.3830188260095057,0.482558663500456,0.3483040321427296,0.5029306245215885,0.23396669651735474,0.394873169813418,0.351909366124181,0.41070028683565313,0.34824999438884785,0.5656977866699494,0.29617054745624916,0.39727734170600404,0.4732209482556285
0.001,0.2958096165187884,0.3000434160771518,0.41476261161592004,0.3119279495034524,0.508546057638899,0.37728763053954995,0.4550306151482366,0.6896651942137169,0.23034931848205673,0.28396334575852916,0.3543162881004706,0.3559989407442367,0.29050192795407354,0.4821671760682272,0.6573552836325893,0.36841954331150806,0.630363548146217,0.3432156829941264,0.3231395293821861,0.33160275367012304,0.33581985267413683,0.3765218572017815,0.2435027349339295,0.4184580989583732,0.527389658491935,0.2724925613375332,0.249559768210672,0.6765823931978395,0.22698508490989144,0.6174062658158856,0.4995985399191952,0.3509105763480761,0.19861502395755518,0.2376500805564525,0.3547162776528115,0.35935525795322565,0.7059324143762111,0.46386107979552765,0.4238582773197374,0.6194421852945017,0.30782698689997184,0.2024622835268591,0.3061516570817817,0.4226171065834018,0.38655511494222894,0.3867823038621181,0.24397606292857232,0.25994483871336677,0.2977542319083535,0.30300429109851856,0.330208539704519,0.4919752452445645,0.24216297230673461,0.19058720512448843,0.6822312058556443,0.44763111958654705,0.2745471343162939,0.3878503840512326,0.21970820363433385,0.20756478420487026,0.4225264309707428,0.27564447227419964,0.3492439514136476,0.6017639815424957,0.25209975881083335,0.2462505350171547,0.5888397467855407,0.4084526919141654,0.4350682872298788,0.4660963903002719,0.6838794194534934,0.3619618184096965,0.29653681578942886,0.5161513020384498,0.2620717118846303,0.2376938732023066,0.6025740980747578,0.31648820328346433,0.1342509064042858,0.6485118395574887,0.47648283604449326,0.25535156175727375,0.3891555464343332,0.49329436305041036,0.6125092179231292,0.38316044614609707,0.3484329706882493,0.5782873075810219,0.31608224186951317,0.3774454662608035,0.2604172977485047,0.29479974970787515,0.34667708429504845,0.30555768613478357,0.3605252015472091,0.2004339323118495,0.271828422535358,0.3390946275618834,0.23488149396915697,0.39744844048055555,0.24237018757555406,0.5240585233857269,0.530484214784291,0.16416749696292823,0.2355155405926744,0.7330968947981712,0.3504977485566957,0.5600444484176555,0.4241906764502985,0.4657560119767256,0.4898257019514164,0.7355359640900305,0.28370653604986423,0.23436337444929073,0.27405148339214774,0.2098540780268582,0.681782417503747,0.6473204055159796,0.25055219171658194,0.35651073513086906,0.5514070841598645,0.49995117065018624,0.26333728682137825,0.3440107398467431,0.26167114151116544,0.393322630535751,0.25023063934867734,0.33164438452615064,0.3052741141891014,0.29894402495991984,0.5948623330410103,0.3917731418178964,0.4937639300488595,0.23816275445224333,0.2586782832905291,0.3030043640057518,0.4525761871932935,0.2889360215289959,0.36024776517017915,0.3753689486171307,0.25252588367036993,0.6048401051049429,0.28367802152602767,0.32606763680805395,0.6126624308856726,0.2836313984765161,0.19926885928619134,0.5121560045068889,0.20479041407493603,0.6034996908849666,0.3590665244730176,0.2937328636016817,0.2711836071945157,0.37840229196314284,0.6398812600473086,0.5995460485769412,0.28598266557659946,0.2684712659319912,0.4116494613376562,0.41330664130912587,0.22093381021058128,0.34526782283763074,0.2985623554390741,0.472821996637469,0.3063696955158129,0.29875454491823766,0.41145336447365755,0.3461208797977883,0.2637167060618882,0.3620745379026316,0.3162892277839954,0.4446634241522027,0.22455071224693796,0.3010106172342409,0.5291625045924968,0.38488850801507385,0.647158432751102,0.29587179002300085,0.4316438298361234,0.2990037645017939,0.6642585618844704,0.15997728169123895,0.3594118677326433,0.342620724714826,0.38645553984637543,0.2983815533903505,0.23623680001838668,0.38881412968786405,0.5030451376902508,0.3483040321427296,0.5151534991318371,0.23396669651735474,0.4011406857534478,0.3539207871108422,0.414005621910862,0.35939706792436055,0.582736170589267,0.29617054745624916,0.4053613566409888,0.4811989987368046
1e-5,0.2958096165187884,0.3048861705395135,0.4362859271388339,0.3531790767274078,0.5244758947429288,0.4441201729107931,0.47549805713573684,0.6127467038197896,0.23945005856756235,0.3122186194804812,0.3632906979160121,0.3606800385703052,0.29050192795407354,0.5075250076072909,0.5935975245772931,0.40959991058400463,0.6441611168399256,0.35782014919948024,0.34072254789310363,0.33160275367012304,0.33581985267413683,0.39651619857999204,0.24571881411900828,0.44674144830813906,0.5504011844560484,0.2724925613375332,0.249559768210672,0.5879109147155416,0.24636135644302687,0.6478207114926461,0.5279548413168026,0.3509105763480761,0.20672072786363954,0.24302902842380159,0.3547162776528115,0.35935525795322565,0.6402888184212365,0.49939180804803923,0.4619616196862419,0.680858962231321,0.31129171643234377,0.2024622835268591,0.3061516570817817,0.4226171065834018,0.40453319002724575,0.4077055144228833,0.24427954062078777,0.26171939958440055,0.2977542319083535,0.30379579118118505,0.3419312191041347,0.4919752452445645,0.2443376046797596,0.19058720512448843,0.6220423904636163,0.4735035781093384,0.2745471343162939,0.41338605170914156,0.21970820363433385,0.2111912822906831,0.4516825898401933,0.289807887662655,0.3555743415640415,0.6137515848590931,0.27022701226988943,0.2471407506425867,0.5431037817831846,0.4084526919141654,0.4350682872298788,0.48110278537611695,0.6317872358040446,0.3619618184096965,0.29653681578942886,0.5310342717996652,0.2620717118846303,0.23954464266491923,0.5640030508987763,0.31648820328346433,0.1342509064042858,0.6682193259521849,0.516373426034144,0.26796621128726394,0.39710686815009344,0.538535417431236,0.6076440296661845,0.38316044614609707,0.3765050652129952,0.6089364195979351,0.31989478053164694,0.3774454662608035,0.26876779619789865,0.29479974970787515,0.3600295361763076,0.3253166392145295,0.3605252015472091,0.2174796491226966,0.271828422535358,0.33967966633886787,0.2369899869397391,0.42634552852069835,0.24330765273480146,0.5008354270856157,0.517676543452265,0.16589379705619373,0.2355155405926744,0.6822172786648968,0.3504977485566957,0.5753316103757733,0.4575739880566994,0.4841696353332024,0.4898257019514164,0.7246924507718718,0.28370653604986423,0.2485601100524849,0.27405148339214774,0.21123512988399915,0.6187070056429947,0.6301530801849504,0.25055219171658194,0.37776052282764977,0.6134199789133138,0.5097489464880454,0.26645410209293857,0.3749416537308231,0.26253061270594713,0.393322630535751,0.252302810256616,0.33164438452615064,0.30820277288413184,0.30066747651878867,0.6276919714815601,0.4059992342743993,0.5067884111215468,0.24194337180689096,0.2613399024207434,0.308548796376528,0.5217552998722192,0.2889360215289959,0.3663685030184574,0.3753689486171307,0.25252588367036993,0.5913688124196258,0.28367802152602767,0.33310927816012775,0.6345148609421919,0.2836313984765161,0.19926885928619134,0.5649909340872791,0.20479041407493603,0.5745806864093014,0.3814070630595391,0.2985587848883797,0.2711836071945157,0.39479537191160785,0.5347711303611509,0.5806175133633994,0.28598266557659946,0.2684712659319912,0.43894974030686845,0.4840517197223244,0.22093381021058128,0.34526782283763074,0.3147281403158711,0.519837333341594,0.30724242552236963,0.29875454491823766,0.45724746403185695,0.3471553944183369,0.2651610412367545,0.3718867325624822,0.3418460600030499,0.4446634241522027,0.2339856821534881,0.3010106172342409,0.5643221516731636,0.38023249682444477,0.5910916260055659,0.29930276144416623,0.46985936392930683,0.2990037645017939,0.596389094822018,0.15997728169123895,0.3594118677326433,0.342620724714826,0.40587236514605385,0.2990563302885283,0.25314472552502404,0.39867638140610506,0.5328648144394457,0.3483040321427296,0.5303919425453425,0.23527279001762746,0.4331041920350477,0.37106073082154145,0.41927330289360476,0.38230336217084115,0.6100289968200284,0.29617054745624916,0.4409722655509382,0.49130955499703166
1e-8,0.2998261924296024,0.3150246451964545,0.4835162593528135,0.42487473797428615,0.5117733759487102,0.5148150157561295,0.502950061213547,0.5212914266387854,0.25919831742056987,0.35126096664214884,0.38021312901037146,0.38645228357656064,0.29050192795407354,0.4952082382954376,0.5743744649647016,0.4487394241565789,0.5498793531046045,0.374350683886703,0.38454335387329625,0.33241433464553316,0.3378658432929881,0.4158428534659657,0.25765375003621527,0.4871185519281426,0.5126043700940249,0.2762777487731979,0.2514968311109346,0.4314557579691334,0.27669630586400934,0.6179605852777175,0.5697898723974762,0.3509105763480761,0.22666797207851327,0.251377239730046,0.3547162776528115,0.35935525795322565,0.5388882167612498,0.5298787727426619,0.5120770056708119,0.6977156698821639,0.32322590558755565,0.20554718849485337,0.30806943089752387,0.4236325754555348,0.45220605262632163,0.4401648523326256,0.24813068386348874,0.2872873619035754,0.2977542319083535,0.3070863217566772,0.3500300133331834,0.4919752452445645,0.24558677726864087,0.19542758910827523,0.6131042667265186,0.5276121183209764,0.2745471343162939,0.45056775734217064,0.22354369789246212,0.22058840326392615,0.5010765501843519,0.3060152055917097,0.37724010746174697,0.5683147282692181,0.2967153423701511,0.2471407506425867,0.43476313971550057,0.4109599034877726,0.4350682872298788,0.5347551322873102,0.5796813272692698,0.3619618184096965,0.29653681578942886,0.5870166395042455,0.2620717118846303,0.25234849273066484,0.5383226026908302,0.31791337732000313,0.1356447314234604,0.6311095519803103,0.5853068613863053,0.2831065276516185,0.4310420859919803,0.591836576571539,0.5912844435477166,0.38316044614609707,0.42444915475506034,0.5969327915275345,0.32529521941810996,0.3774454662608035,0.2942231377401139,0.296086155124865,0.39139457803721056,0.35776802098667304,0.36234425199030307,0.24311810893667826,0.27265577342738384,0.34478797160778396,0.2472844260656872,0.45411920579580806,0.2502877801881755,0.48155212933870223,0.553757518451624,0.17389207733722703,0.2377626046654423,0.6445773245512987,0.3504977485566957,0.5799272702126934,0.5081066267745149,0.5241217571184003,0.4898257019514164,0.5930151761657009,0.28477551582279437,0.26889400851411643,0.27405148339214774,0.215877503323087,0.5541034049764242,0.5810934971840493,0.25156152062274006,0.40392363411187204,0.6648207453035851,0.5166730189022547,0.2701908087586966,0.4155149550591541,0.26343916798436195,0.393322630535751,0.2587004958664602,0.33605590079566094,0.3194974623068509,0.3043036937411766,0.6221932651837165,0.43924377749352744,0.49542271650034186,0.25446845919770666,0.2728493669867239,0.3283852129722397,0.6240569916162413,0.2898428582496756,0.3817376411919591,0.376181546488574,0.25252588367036993,0.5306663105504492,0.28467383493617293,0.34587411841146654,0.6407027891891838,0.2836313984765161,0.19926885928619134,0.6167151397107289,0.20854862663654747,0.521571693348328,0.41991270758948934,0.30853029826579687,0.2711836071945157,0.4218218800548139,0.44999765982044515,0.5568297806659331,0.28598266557659946,0.2684712659319912,0.47265210447739037,0.537497953566074,0.22093381021058128,0.34526782283763074,0.3501264133763218,0.532540261358076,0.31174823375912764,0.29875454491823766,0.5196039057618029,0.34846881642491667,0.26957460799392663,0.3845999616456594,0.38465560675514965,0.4446634241522027,0.26810874053459144,0.3010106172342409,0.6208757436455815,0.41180864703089204,0.4937730622498332,0.3017744945496085,0.5282302877541063,0.2990037645017939,0.5345717930460665,0.15997728169123895,0.3599530167143511,0.34372126436993955,0.43497143980549824,0.3059853193594992,0.2825505719947486,0.42283699623382587,0.542708449537102,0.3483040321427296,0.5278225689066808,0.24033958981754985,0.4704998733421846,0.40978045331117596,0.43899242874895594,0.4433151700684263,0.5739642511304998,0.29686107582915555,0.48610701321927147,0.5312886606807283
