p_cuts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.2401629168496235,0.4369676446465332,0.3006577294020298,0.2401013302284394,0.3906798337063306,0.23248384959253202,0.12518400954138306,0.2961426377260041,0.09878825855393453,0.22763332264579975,0.11356518410559582,0.2542241807984853,NA,0.2419609474365201,0.2174761296402991,0.25554301274733,0.07306240938987613,0.13387877200633047,-0.013154720736523127,0.08824200174153454,0.24766633924308318,0.257558110999329,0.1483232187508299,0.2482918876331546,0.20916820075455717,0.20711638387423295,0.11904168026658661,0.37886504220604966,0.2593882707470433,0.27349817299084217,0.31834719523728044,0.252242586886694,0.17170857055247987,0.20054885676648251,0.05963450953118532,0.26476915793729383,0.20729851869744348,0.1973340774577434,0.17015607733378757,0.31367976411014853,0.2491433102076475,0.360055430045324,0.16483191919098486,0.15714205548408158,0.16460857586913483,0.3009145394759755,0.23011015954708122,0.036489543458834046,0.09487745276130943,0.36493544316049215,0.22147429813727174,0.33016922701392254,0.3626397326791328,0.21514564037479855,0.12003212217970087,0.19793503961540565,0.23461800636312358,0.2388441171416025,0.12024107512395768,0.328830763827644,0.2244674698790415,0.07598189605263753,0.17716914236312378,-0.04653630575728618,0.18137901730633646,0.1966641556676336,0.06327111263631655,0.2425823891486316,0.1427181693729707,0.24286491317467798,0.2058914694912828,0.37248235387295914,0.18496494691281806,0.05597097518112374,0.08713464002197051,0.0939818074269384,0.009361768387966745,0.20604081013649436,0.24041733430123247,0.18166797884929303,0.3114513003820584,0.15630949235813965,0.28585929909322266,0.04219559370927165,0.3200898058209253,0.37300676895538876,0.22940451897612504,0.2850132138903593,0.19040861770598763,0.3350531569393621,0.09382605064446778,0.2747283754984374,0.24248167384279057,0.1374758123551426,0.15984026784894811,0.23180683101848645,0.24837787237514228,0.10963969437522533,0.12677226488587331,0.4014038565750188
0.1,0.104177532763391,0.18825938655655186,0.15328477813498534,0.19641034912018696,0.17634810386421854,0.07776269181177069,0.19385042604452365,0.18966740018813996,0.10682570703933181,0.07979656720448144,0.17185345305958635,0.040126584154805044,0.15223632366581502,0.1575207026397276,0.2041841825324224,0.21097470824688638,0.1794366639390709,NA,9.005021065895731e-4,0.10584809030974199,0.07226799827257649,0.10431192422445161,0.35414690834068596,0.29987387801562243,0.20167050835768233,0.33171510627775047,0.12787158231847004,0.10222668143132599,0.16082105851783982,0.0027270992671664723,0.08218504154952695,0.19630930311152867,0.22833667417248016,0.25019320981659376,0.2059229029666043,0.19670919746423118,0.19465608255313335,0.2863673334140076,0.10455525590052651,0.12494299476753241,0.10329773743260005,0.08921146185960495,0.3350584385130024,0.22524957372765717,0.2379717900817485,-0.020054160429212306,0.09076957814263184,0.23114666319045185,0.10731680391516189,0.20876393561916695,0.19575347339124452,0.16971313107718444,0.10806524027256359,0.2083958257748999,0.12421851866686433,0.09602454262187686,NA,-0.022726590928927065,0.17635263239986385,0.05636017033188999,0.08385910283531882,0.1835330913262698,0.13892309435642947,0.07871081223069894,0.03651368955032745,0.42153492283560956,0.2616117198636968,0.1519360736272704,0.04687517114160085,0.3125461478141719,-0.08189615833737786,0.16056135677444597,0.055503112679153206,0.13500244826052538,0.04408824384729052,0.2541667904432908,0.19705381404678038,0.06740040775056333,0.0047594744810246946,0.19020674741710483,0.22161313864897134,0.21994788330960657,0.0792373318476886,0.17601997125993427,0.24056677680987057,0.125384105509287,0.1322643859105817,-0.03198151552022356,0.2547875848113402,-0.06615623990721874,0.05572893163226193,0.08804597153086317,0.18141895303429587,0.05409382418162119,-0.016835130091640622,0.29491127445887566,-0.016953585359609856,0.24781979422928058,0.15153794682398333,0.18731475848627055
0.01,0.1258549171903907,0.12808128685945613,0.1744539071122189,-0.04994020475125026,-0.07891411571564029,0.1813350758601956,0.07618386391595164,-0.04785974393273104,0.05604314878758471,0.2977048355257298,0.21555028829762649,0.14041308761568821,0.09397041347565947,0.22917332442321092,0.16958142329741943,-4.4936959477543574e-4,0.040237304922013134,0.14487542128209008,-0.028483420688515962,0.18305563633962552,-0.061776825334088195,0.17135664338181528,0.06608905522735224,0.026665005162674046,-0.03445151410520961,0.03195406203620774,0.0753164010811991,-0.08693167765938847,-0.10573986323763067,0.007066079911995526,0.09014672910160691,-0.02209949568867218,-0.1668534165001344,0.21588980115594003,0.10438795731276955,0.04487446961930611,-0.06956541858044454,0.07595185029136911,-0.020370999343771963,0.025377762075771117,-0.09949864867047685,0.10611942364014489,0.09791946223066884,0.21186330992754882,-0.0417071415883625,0.015520088788661042,-0.03248195192138527,-0.023758340184747886,0.16612131601891889,0.15375480968326735,0.03207017458692538,0.1210927863685492,0.11485800474249255,0.08026529189870266,-0.09956904074535634,0.010797963792232244,0.006296093294157091,0.04292163428213263,-0.009952229247383175,0.04480332310937422,-0.03228896456385039,0.048455864761291136,0.2781901759659731,0.00977095592544608,0.07525566572826711,-0.056579624793459966,0.045415135472176495,-0.010798800535758254,-0.07444348084967414,0.12892751730141902,0.11185133530395035,0.28405576171674735,-0.04207493156276046,0.04479582836548155,0.08023562976517369,0.10746262951626223,0.16228210193184733,0.0030207971184024723,0.25199576547997915,-0.01567988054851386,0.12978371211641893,0.08097503200740978,0.07101327832740577,-0.04725035213347949,0.010964380445552127,0.03572503907005227,0.1449625618728213,0.038198542509742237,0.07074278444615388,0.052304509515111564,0.24886872864857387,-0.015198276478682785,0.27061136769850735,0.224981284865544,-0.09915050878088594,0.1589203621122686,0.027193477400455666,-0.07542633808764478,0.14855825553718702,0.09991697292126124
0.001,0.05725689739053958,-0.16532369967991112,0.007338039585413719,-0.06708220216366982,-5.299022269596434e-4,-7.501542365380129e-4,-0.08542516147092995,-0.04010970604267172,0.28084910072834296,-0.13044071563638104,-0.06767760430336923,-0.058053468508246324,-0.06700436829576262,-0.0771729714169558,0.08358297841780164,0.13659675996179033,0.10679776985806552,-0.19364980704159487,0.06276950381964749,0.03577881493736885,-0.10230377608670489,0.033403190686218685,-0.19003474236148354,-0.03011817460434736,0.1095072602442387,-0.15460441307241427,0.04690848101885766,0.24577519950809718,-0.03756373820816289,-0.16791154424108992,0.28076111758996397,0.05011870145651608,-0.007710416638774303,0.09723043866116227,0.041811424126824315,-0.0629502721726901,0.1397844176490652,0.03455685942350918,0.04642278141758235,-0.1329396448081173,-0.07302120266489065,0.16191660612210665,-0.07434201796309504,0.042635130918179776,0.012850450174180739,-0.07031216608640271,-0.12148074930207542,-0.02693135656447536,0.03767494733503207,0.06282220036711937,-0.0819572801140625,-0.24951692651057983,-0.02761546740269172,0.04514674966082793,-0.035878258200759065,-0.04731621056545166,0.08858070816496338,-0.010262333188789526,0.13743556801758974,0.2011800920221158,0.09142176139444784,-0.07320849487430646,0.05159990756428599,0.10122981840505839,0.05739534071593976,-0.11745024762779603,0.23305631142994213,-0.04413896252593475,-0.014980875678065884,-0.05057605080602866,-0.013003452059081273,0.019192736219797404,-0.018041084866688536,-4.746260168274688e-4,0.012306261626983757,0.07707101802218876,-0.1473703983379105,0.11229505577619737,0.1417319333968531,0.07872638757019011,0.045289239265209905,0.003521583088670299,0.14627406641826668,0.03861044843014467,0.011929900034893774,0.026739184370367094,-0.07354067672164609,-0.05700811576924423,0.09101122432493379,-0.13892194747668066,-0.14230598932350197,0.11647272977031844,-0.0379260946225588,-0.1492709126358949,-0.09614677227174395,0.10615856431166464,0.12366725926251261,0.10075456022945051,0.07716528199181491,-0.11610068363610258
1e-5,NA,NA,NA,NA,NA,NA,0.009568163472385684,0.1432238276065202,0.07640610841034894,NA,0.11717091478850729,NA,0.09048483496096119,NA,NA,NA,-0.08891598739974796,0.15156061197160023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.058395630388914446,NA,NA,NA,-0.02182928631419307,NA,NA,NA,NA,NA,0.11147538112497195,NA,NA,NA,0.046527519692460516,NA,NA,NA,NA,NA,0.0328361546519424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19116216853787063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08802182071803509,NA,0.025641099035683797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.19396411805537844,NA,-0.12099808677198884,NA
1e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
