p_cuts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.21034099964156797,0.13760440264821383,0.3287686206281823,0.3415767570116436,0.2566530351159412,0.27007482665369503,0.23353036697490717,0.033813405417552865,0.3297010304369479,0.22818039031638007,0.34410767159848404,0.375459695118937,0.46284763070920415,0.43978009498200427,0.3215293759029749,0.3324150750382847,0.31061118624340095,0.15148297836322414,0.345802221149371,0.2883173379296477,0.35391604536244103,0.18904455482248406,0.28544693154702666,0.29005399591918396,0.3832340958546994,0.4315098465327896,0.42454813666490493,0.2549545192511162,0.5230016211816428,0.2175538415070786,0.35414265184329574,0.27181141512185497,0.23543281197531196,0.27894023885868047,0.33381934975132255,0.052701773193234255,0.09626133743958395,0.21179486019861946,0.31636974699062664,0.25114988513632225,0.21336578121363878,0.42487042532958047,NA,0.4320091533359128,0.22092157302432636,0.25758072814786354,0.032342085122628636,0.33588662116770324,0.18975586562833133,0.2063782854696676,0.2280190524899375,0.3180127097876998,0.2850032577923899,0.28447676412164213,0.1977346638473514,0.3030910112596546,0.19087572010682646,0.42956203177701524,0.2516587455015057,0.5025833505711208,0.20763128145943005,0.22108428772668046,0.31263660412459254,0.3858596509058067,0.37257501235173457,0.285971997055776,0.3355329324729509,0.31192752796733125,0.36449872843175657,0.0370914885136945,0.3148304102966909,0.14983249446659666,0.4979531361567934,0.18420776560979857,0.3643328750783211,0.25270340411415704,0.2860871347799903,0.2776130157076876,0.24011028907795887,0.3686477616022204,0.325401640954414,0.2483279688714192,0.3368780534399382,0.13804285919828227,0.29171185221826595,0.29587360331100415,0.2414420493413062,0.19979315928333502,0.3429752613139314,0.2566267241803024,0.2607138282191534,0.23375556144255974,0.5470884999326622,0.3343378365245282,0.25744766345028125,0.40229266378193085,0.2676543812887506,0.2871024036160465,0.47435656814230565,0.42405118515233375
0.1,0.4119116064438252,0.33031611546654144,0.4326135306836693,0.3475486848042109,0.24207090650359125,0.26055849169444717,0.24003857068104387,0.22135822008628991,0.3442625426740593,NA,0.3028105983824234,0.2635069072583251,0.19854985043825615,0.22172510515346283,0.297221789658494,0.3435226973861549,0.4581684382487279,0.29555341146688124,0.3326240063043861,0.2156828433555635,0.1844252517628786,0.264103528967242,0.28095553087396424,0.348228184643813,0.2822258819613373,0.2635987741552598,0.32746341638641446,0.3115301814715584,0.08421957536229609,0.36091408704663047,0.13991198284358441,0.46384400256455993,0.23017124388412705,0.40341518636414714,0.21934434182525883,0.21013576247451363,0.3117598009025547,0.1377259679197878,0.32417153106399327,0.2350839593868937,0.4271637785203032,0.4802085182631784,0.3670239424018115,0.3367701332525734,0.32730305736799337,0.3705604992186712,0.2551685478362763,0.23850850198903337,0.35827203214867615,0.16138925069663193,0.24071355721601373,0.25564621115854985,0.32900695442404765,0.23909311391326415,0.26913919587697577,0.319337743704718,0.3421626803301886,0.30655232006070887,0.2518852248812078,0.3788240307752508,0.3736291548546098,0.23807693398404878,0.27400390508133826,0.23128945817889277,0.33411496340834457,0.254648496425206,0.24625739824831644,0.39080179469680476,0.2514468215759481,0.3148028379384862,0.3605768999746934,0.35198370971212817,NA,0.4962208729035428,0.4022947027134186,0.23565530287780692,0.3998619515082458,0.5174743238734809,0.41129285588178366,0.41233686906410394,0.3239593633893962,0.3847939317097914,0.3125359385016534,0.3101308538684108,0.34067779489333044,0.34741597016623776,0.13172638887136154,0.30177126242563546,0.20086286184025706,0.27992338183431764,0.3496376832044282,0.16348604679716983,0.4072781094747613,0.2846206958492963,0.23674991907844112,0.4211347581960589,0.31258563666537204,0.2821050222977879,0.39996049677375867,0.31088333569685367
0.01,0.20138842155049866,0.3182562211149218,0.2788497973544759,0.22206024376530453,0.17051479770675304,0.3546078971289135,0.4825465458792088,0.4182419644253069,0.17675923004430397,0.13965728773696884,0.25173678548875944,0.28565204940985534,0.17435105173395246,0.36166620339959255,0.31679408673920995,0.2544349754900039,0.4359852451419648,0.34548531381452785,0.139528238042568,0.21860229295554898,0.32107741320688604,0.317498808707875,0.09660325539822419,0.2437187565323485,0.1956446218214925,0.2614396633621078,0.1953874176862742,0.35290217788959755,0.2867615806450068,0.260936253212532,0.30033906340852895,0.18118810644790057,0.39814546384823496,0.2605550657127697,0.2894243513714419,0.19827983588298048,0.24591816065117683,0.2171845977974485,0.20307799242738936,0.25957542909632003,0.15509786946956397,0.24281967349265487,0.15580272957894997,0.20585251019593603,0.25114550445506206,0.3329601143641053,0.3789695557861108,0.2705193189314541,0.3140440972948081,0.1396926555662501,0.2294910449284697,0.35105147284828153,0.44411155579582023,0.20613244022751656,0.3224494083322693,0.2593270761791533,0.18593644556614375,0.37820058530760825,0.13529557643869977,0.3042151153175315,0.1897142036772367,0.3309981608016488,0.1216952318475027,0.33495075815314357,0.2324175929459729,0.2618495387856776,0.38959404664516556,0.3881173848141852,0.3659175602408396,0.4190924729526319,0.3874693723465046,0.4572428403286421,0.36597130024075075,0.24642927583211616,0.3156420969011376,0.17160438834002215,0.32835384139385465,0.30799694622684126,0.3777743614924283,0.307773492198436,0.2650667433288165,0.23255846173552794,0.21485016480373395,0.2862910461522632,0.277862439981872,0.2969845704980634,0.23590635741068164,0.33036053470285576,0.25850640882902126,0.3430068008959115,0.2543323737726627,0.21013736814051925,0.37108386063175763,0.33029266046850403,0.31080279467659905,0.24685782922544064,0.20815367542156477,0.31677201313753783,0.10419861598387699,0.3438880693322221
0.001,0.24838543794528276,0.005547548025782044,0.1962008295917309,0.1795153241340337,0.14467207043212055,0.37726608181348387,-0.0041835643797869465,0.35508417810600973,0.2262723937710114,0.24336698021439276,0.29683211759220574,0.1539886768903528,0.34823980751521066,0.2445977391600946,0.32840858060618294,0.07833703863624909,0.320151777956019,0.09663946951070927,0.24636991958726864,0.09748068910653898,0.22305429274977462,0.21184670606547373,0.20292934466505,0.27440537538745036,0.37444994130116593,0.16061305832368855,0.1447519615497315,0.27153915369265874,0.13806118750528454,0.13230975854796784,0.261076786542252,0.2746954948627934,0.29851715238366405,0.23721186666077074,0.34251113944725714,0.20851866859246426,0.32224655564433063,0.320347745127703,0.16624545634172072,0.06397298029727713,0.21215226923938052,0.31658609141321986,0.17117869929999938,0.3707216600241737,0.4006440460713448,0.2796990706071901,0.21907841072168438,0.34419441827509356,0.1627526391499746,0.4004503848454475,0.18105523717584912,0.3872179216025527,0.24413585328094703,0.2535455658531537,0.30323197911323657,0.3553486972366344,0.24173170360724675,0.38085540675475943,0.0942924522680534,0.10764635870499469,0.33918372117676887,0.22877902133539738,0.0856012538372784,0.25922681554075727,0.17294770258473172,0.2429251437004722,0.23035141504775092,0.2666934734654805,0.13280423104711597,0.29089354243076976,0.33654554237656703,0.1664935809023106,0.32468587603077714,0.2868399590944154,0.16215587688638464,0.07893339629411501,0.2903803819008494,0.27471284563719817,0.2527459054825693,0.15628323483685547,0.26316469360563155,0.3928484617631397,0.13235478626628736,0.16389191542795026,0.2187440905126145,0.31669070698283536,0.349584995372897,0.30054500667878187,0.3699203719522979,0.17457618852498838,0.17437634981263847,0.0528154195272524,0.351272737727987,0.23595732874659925,0.10275565044959542,0.2666097299584347,0.2891328690861537,0.1039668144045067,0.14987550356582713,0.433040906651378
1e-5,NA,0.2030219796477206,-0.04523243995561681,0.03357835891007073,NA,0.1378864127207016,NA,0.12834081924750043,0.18875360687274334,NA,0.04475700036661398,0.15934017455846336,0.05762187551004112,0.07439887405188195,0.1490005202889772,0.1420358321453719,-0.02669204230119151,0.13868657770325732,0.16069914334766422,0.04570041423141296,0.2643245473126669,0.0023491979185013114,0.13900008381294182,0.1274043707415428,NA,0.1997970550519314,0.19174265139345123,0.21097284238787323,0.20097651832961066,0.08382300517219904,0.1076597861622746,0.19951935714782643,0.04052227176853723,0.13168052410916753,-0.026418001933041998,0.16043592129056203,0.14087555605849855,0.0896453379564294,0.4746369268478385,NA,0.19232051782695597,NA,0.09872430217380176,0.004096933750179101,0.07957229958441114,0.1914137806851512,0.18718878320030088,0.18632885699823687,0.3455015736564267,-0.01523745771677634,0.12912312735112175,0.031211270150659307,0.04703427339815256,0.15730526317004376,0.3004582009300339,0.11520507355911995,0.15819680618685744,0.05103473614915069,NA,0.09702287045418485,-0.0803426174486602,0.297150332070067,0.2782587116072805,-0.10248823546208173,0.002762266696386465,-0.13923428494318527,0.1891990299170718,0.17963286092606967,0.07110871538252586,0.04190686224493183,0.18075726226087857,0.06369692523447586,0.08541539741103173,0.15227755979800442,0.08766740130206685,0.2523141610722368,-0.0565094114534421,0.16555466183888157,0.24646804491173754,0.18388619369166156,0.03414249927399233,0.17623957042248767,-0.05023889462931437,0.0059269817067430855,-0.04158406784526349,-0.10871340959033607,-0.12319811617299792,-0.03062134735409403,0.2099470428875148,0.2793348497055374,0.17749490953223243,0.1986637764487562,0.18555905156355032,0.05216849608406578,0.2934566171020579,0.13940979979784265,0.042918491357946176,0.23559628831815,0.2534653378120345,0.13323383066939465
1e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24016001051607033,NA,NA,NA,NA,0.1797924267737338,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12370956902595871,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03153547443482369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
