p_cuts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0.2168681614983212,0.0980039403418495,0.2354910144392895,0.24077998785302893,0.21170208988642494,0.3565334714134894,0.2589410411184358,0.2911018817118283,0.27277052525839013,0.2177932018228548,0.29988274970737405,0.3299750242386828,0.19026930983006976,0.29363890020254974,0.11063408311482682,0.4540745286591369,0.24728991835337322,0.2039677452328837,0.2939646793414642,0.36364026666991317,0.22430931140194038,0.1253924398656219,0.1461901636812643,0.26630184689321157,0.1263706688099473,0.14740330445173946,0.34266347368665245,0.1418709595399329,0.237905497094011,0.3914202914761743,0.09367250170820197,0.2642373462530521,0.06391278256313468,0.17756561747547403,0.2180896258735366,0.1698491091001595,0.29746665799649286,0.22257788580871227,0.06768366339021119,0.263326434662128,0.2674811915808759,0.42181063645082784,0.18268991536588433,0.06563969344345019,0.2847796419285875,0.27957368791235143,0.13709131356570398,0.29714204619975954,0.25664167328872856,0.1680107793018578,0.2403817607359386,0.337723756389686,0.22759769407757416,0.27970532582292545,0.2992860181526558,0.26902512617623153,0.240079026292016,0.40397048779987416,0.3033979405899151,0.28481002661992905,0.03601016663723268,0.2512558386804036,0.18640046490039555,0.23285088745366872,0.21621364526605907,0.28500260542684397,0.1112071413579391,0.052153640092633326,0.2629328967007121,0.1517119009065027,0.14006302824803266,0.3809135313043341,NA,0.2948749522271626,0.27659855091903524,0.40511752960133557,0.18176119216503056,0.3010882965635642,0.020551721910937192,0.19025547979096846,0.1549885964379027,0.2684639731813438,0.36580668720016235,0.2946564652174009,-0.007869166310587126,0.19843328972970942,0.22795469541609797,0.2346906955386726,0.1360426333224758,0.14250500283912507,0.28572125531735815,0.11626470580929844,0.27112391360759164,0.11152655979717138,-0.05976056855383025,0.16940824133365973,0.06853709760114128,0.17497736179972873,0.1211873454357783,0.23845335404144027
0.1,0.36281180349766357,0.3858422258014256,0.3527431052227337,0.34468434253189195,0.29429311838639305,0.37203403675629276,0.3348714063593823,0.24743417969606984,0.21834949218657007,0.2536580154512489,0.20877316331289233,0.253450802187227,0.25485178446203166,0.4042757226640717,0.36445862267929435,0.3662313626265247,0.3622160576405839,0.4311179682537024,0.20942145801808737,0.2821256463799594,0.3155543010726078,0.21476170853823726,0.3761908009154126,0.28675310293893086,0.13284999833354463,0.39111660600264275,0.40787598375444895,0.4317420649880832,0.42011521533769713,0.32469649457077737,0.4061354022194463,0.34093696061665146,0.42740915476886043,0.2463859892073968,0.2606942970301727,0.2141475923673273,0.38352314914774205,0.22355897137887662,0.292708542012306,0.33194462921591156,0.34918660632740206,0.23245275168401727,0.2495014229711464,0.3308923472173903,0.1984275537474033,0.17108538532205586,0.30511886596231474,0.3268755495983329,0.2678303377113554,0.3069834515543802,0.3941489698037241,0.3496281275914006,0.2602523953647495,0.285135289959823,0.26942110618739945,0.33213008901649016,0.45496374726032546,0.17257942469907062,0.42795936904662624,0.3230923945000109,0.4223956571838386,0.40796458013713116,0.4241344441466026,0.188320496050143,0.2599662717669502,0.2753754830885972,0.31496024572363984,0.35012253286045675,0.33331706972025293,0.39611666705914766,0.45998010894720304,0.2553191891458193,0.35345896015281325,0.37484953011790456,0.45498010996157623,0.33876574687364297,0.37959828331087375,0.2980754659561604,0.30292530432177645,0.4022722083894528,0.4305816662023738,0.32821887252168436,0.325944064485839,0.3017942410870233,0.2852019303885245,0.3009343369029801,0.28425149723228493,0.20559124123710887,0.3896257348909118,NA,0.34367119169153054,0.08181126443519596,0.2445590177635887,0.2701137347046785,0.349338403989684,0.3418936934468938,0.19796990673373463,0.2804653815282644,0.3847530998677461,0.4092293999559279
0.01,0.5270288276490677,0.6760478974657057,0.6927290587855099,0.6606372167002004,0.5324430700510777,0.6050511909506651,0.6877374205568997,0.6146602114027324,0.6196002818748765,0.5304018084395081,0.5611225960383629,0.45744005209583255,0.5572535701465801,0.6395636913477417,0.5306061812636048,0.447228006998527,0.5835280009200512,0.47091614909128166,0.728870070233716,0.649008095290666,0.6237976293969002,0.6483034221641699,0.6655032693093924,0.7203697745483956,0.617875279092378,0.5863957243759262,0.5494106585501258,0.5493830063735766,0.5645802101744546,0.6230478275422529,0.6868484418808675,0.548360334358792,0.6264798551636606,0.6693141421320813,0.5565924815393302,0.6531721183110845,0.6164645412072022,0.660577959151022,0.5150381944131401,0.5648824845722195,0.49771550265401626,0.7027133196487205,0.4141080750438213,0.6495091998267292,0.5302390101119872,0.5738746603666167,0.6298294763873675,0.646546076462772,0.7001762123726557,0.6754518161613821,0.6513189594309485,0.5797816343642972,0.6823801187270052,0.6530128810067571,0.5883622019755853,0.6602366395935853,0.6050735656120579,0.7024874034361701,0.6142880974977125,0.5387081961419538,0.5056022784199132,0.6644510395874836,0.6073737003190899,0.6053669515241094,0.4332955737691928,0.6794585661778555,0.5624795016205785,0.5750814130610045,0.5872817397297597,0.6446471434037864,0.5777840880176209,0.5123965647878576,0.6451415542231782,0.5436129086573578,0.5882390981850893,0.6739325265877211,0.526702385829403,0.6793594496972165,0.5836987669364716,0.6925294727649931,0.6402746722705385,0.5704045490776773,0.5513927019875084,0.6544178159849715,0.5753547422837603,0.6866955477258577,0.6025799850525205,0.5140037412187208,0.7024543050537212,0.4359778367292545,0.7226394506166658,0.6278278016644145,0.564005562358873,0.663549868279653,0.6212898995535674,0.602432711511066,0.6211259462328939,0.6748916636684781,0.4909812814416253,0.6539035666549959
0.001,0.9162829985302932,0.8904440646964755,0.8747061254269107,0.913275625196807,0.8551636278289092,0.8886688994334818,0.8164085970214012,0.8924097357109569,0.869713049961506,0.9302114686210344,0.8121796897361575,0.8381783938847838,0.8218854231163638,0.9391225275797203,0.8058508859348318,0.889367462088753,0.8428102827899517,0.9033795415412594,0.87970763404494,0.8590677735668871,0.8669419208341487,0.8838031141864432,0.8101629116013583,0.8830214504815924,0.8750776230758234,0.9343133688524321,0.9180711440829191,0.8783218998373291,0.9177764734240106,0.8523875884897698,0.9023261748274038,0.9236014418187388,0.8372715624892967,0.8635915820283558,0.8785428069800377,0.8981824995901094,0.872651384105851,0.8663955061786475,0.8641312856230943,0.8765437503062578,0.8244784448040076,0.8831503228829092,0.8677994656051491,0.848000782621448,0.9420662241309956,0.8361638294349704,0.8011612920195382,0.7690922065958723,0.8412191076536556,0.8307962153818413,0.8764939479183609,0.8559295530955974,0.8803291064361131,0.9187730545041474,0.9030710523010667,0.8990070512589451,0.8997184941656864,0.885128897257409,0.9147248394124242,0.8695229003534825,0.802957733977195,0.9027318968884808,0.8446693616811605,0.9195898625846167,0.8817782307920128,0.9022461233453088,0.7694007268947719,0.8869123318288106,0.8956381992662398,0.8613652951277535,0.8274472983964202,0.8850514430926896,0.8471589460710902,0.8289646879998424,0.838172272812616,0.8269490924929804,0.9129496927300993,0.8861146600669536,0.9279132854381534,0.8599900802068929,0.9100192284763521,0.8552073293912023,0.8911406408042808,0.8552411430120527,0.9212848383918727,0.7764993604415583,0.9447182504663681,0.7767926075734514,0.8601441525693074,0.9115627574127583,0.8914656248377832,0.8191404347488123,0.8325816148552718,0.9017156140861833,0.8866564878007538,0.756567902471691,0.897664156384217,0.9338122308475622,0.8691488292210334,0.856104732345757
1e-5,0.9694931885425785,0.9809309796898997,0.9829016125826466,0.9469534382218795,0.9873694395225281,0.9652319645623265,0.964276804920503,0.9568347440721343,0.9331022865510927,0.9725772395341228,0.9785021787082799,0.950358281474062,0.9825949252534697,0.9859321548252252,0.9813105096079574,0.9426309346343149,0.9558146630811799,0.9770377652686648,0.983912842848963,0.9726235973575602,0.9882263974257394,0.9673473449755648,0.937681069118377,0.9600055045099961,0.9832994648395795,0.9706840739675567,0.9695733789451925,0.9630047766486265,0.9913395139365324,0.9747753510298897,0.957287374792379,0.9366490440001232,0.9752896641653821,0.9797285571433956,0.9429572477301374,0.9555193067056793,0.929871015079847,0.9778785148493542,0.9734499977054974,0.9654318825249256,0.9731325668608121,0.984051307975659,0.989256283134238,0.9696737489208196,0.9614023064701004,0.9310352697079822,0.9639259405436491,0.9948088666630824,0.9796931183254041,0.9620541118093993,0.9557512895546856,0.9756977469461972,0.9903655068833477,0.9469840624014253,0.9690111758789227,0.9636252588004489,0.9605462701930513,0.9969043679306496,0.9833603678988482,0.9728618033444156,0.9781425676720729,0.9300303490048564,0.938877588332981,0.9903775410391661,0.9674341208765802,0.9748747123815543,0.9760688298674207,0.9826824040998324,0.991775592116396,0.9651965298508977,0.9596077204645731,0.9776313488750876,0.902359923415025,0.9726955750159278,0.9466378867884426,0.9913070223312686,0.9728136002841351,0.9741082958833593,0.9820513299113991,0.9665343162030103,0.9760153120097232,0.974439311460639,0.9895147401659442,0.9759376659308607,0.9670391568971929,0.9789269042831066,0.9816972931076046,0.9833538585156655,0.9632686701043793,0.9604629730937954,0.9694338183311533,0.9387975378899178,0.9831105555161349,0.9543644938605699,0.9855324625033639,0.9687265362012073,0.9570959652002502,0.9769458995547119,0.9572987050764062,0.9714922203798734
1e-8,0.8935971432774787,0.9637610448802402,0.919015265660796,0.9557901460778084,0.8905555519670132,0.9161539045883738,0.9598302389021456,0.9532311507615819,0.9663440469950926,0.9304834872801298,0.9641163702633475,0.9932525997203461,0.907225621929175,0.9519822415924963,0.9771711979724651,0.9192171254054902,0.9162640064917267,0.9482805689166912,0.8592840650784557,NA,0.9196198448937359,0.9640567224940919,0.9695011931279243,0.9229972575794075,0.8872044533085743,0.9150826446920889,0.9573269764259624,0.9638490150937443,0.907632254531465,0.9904027625360527,0.976905815841682,0.9508776853553542,0.9745064720911742,0.9243033267963253,0.9790196985511253,0.9574052356113802,0.9814849049373087,0.930854535805525,0.8766870480163551,0.943401226655826,0.9254743410975683,0.9248211237414878,0.9779662686414434,0.9832398718272953,0.9731809351309866,0.9421376867768418,0.9157926940081819,0.9449117963141304,0.8578092442840416,0.9727891772412898,0.9186117914220606,0.9313080484727825,0.8723015760997994,0.9834801986956049,0.9311439802922817,0.9656049504532288,0.9948815812088866,0.962519479229359,0.871220901173114,0.9610742712887987,0.9855166851444874,0.9080404828600821,0.9058287725571826,0.9320937682247386,0.9378806960789783,0.916465727331243,0.9204714834699669,0.9439932522776497,0.9174339511327224,0.9472701487692959,0.9322138824927241,0.9567877349698628,0.9359406188016752,0.92213565963057,0.9692753988867658,0.9593304772135587,0.9122653498111506,0.8776349974596939,0.9739131572156846,0.9002656878330083,0.938632851287328,0.9154140993544642,0.9760940922167806,0.9848249106914042,0.9851465370717054,0.98377176371404,0.8959311167231566,0.9646634345982814,0.9760040829876205,0.9641014846404796,0.9253179033528792,0.9582843358632533,0.9404507017729649,0.946919854078318,0.9017874355340227,0.954911718604744,0.9351689390530025,0.961857108487383,NA,0.9347727382095853
